"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;valo;eff;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I03;I03;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I04;I04;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I05;I05;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I061;I061;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I062;I062;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I07;I07;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I08;I08;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I09;I09;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I10;I10;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I11;I11;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I12;I12;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I13;I13;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I14;I14;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:24";="590782439";Dont Séjours valorisés avec forfait innovation I16;I16;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Séjours avec n° innovation rempli;----;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Séjours valorisés avec n° innovation rempli;----;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec n° innovation erroné;GHS;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec n° innovation ne donnant pas droit à un forfait innovation;GHS;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Séjours valorisés avec n° innovation donnant droit à un forfait innovation;----;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés ne remplissant pas les critères d'obtention du forfait innovation (âge et/ou actes);GHS;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec Finess ne participant à l'étude;GHS;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I01;I01;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I02;I02;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I03;I03;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I04;I04;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I05;I05;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I061;I061;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I062;I062;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I07;I07;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I08;I08;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I09;I09;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I10;I10;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I11;I11;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I12;I12;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I13;I13;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I14;I14;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:20";="590049565";Dont Séjours valorisés avec forfait innovation I16;I16;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Séjours avec n° innovation rempli;----;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Séjours valorisés avec n° innovation rempli;----;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec n° innovation erroné;GHS;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec n° innovation ne donnant pas droit à un forfait innovation;GHS;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Séjours valorisés avec n° innovation donnant droit à un forfait innovation;----;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés ne remplissant pas les critères d'obtention du forfait innovation (âge et/ou actes);GHS;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec Finess ne participant à l'étude;GHS;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I01;I01;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I02;I02;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I03;I03;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I04;I04;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I05;I05;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I061;I061;0;2023.7;X020000253;24AUG23;14:38:01
